id,code,name,memo
1,1001,库存现金,
2,1002,银行存款,
3,1003,存放中央银行款项,银行专用
4,1011,存放同业,银行专用
5,1015,其它货币基金,
6,1021,结算备付金,证券专用
7,1031,存出保证金,金融共用
8,1051,拆出资金,金融共用
9,1101,交易性金融资产,
10,1111,买入返售金融资产,金融共用
11,1121,应收票据,
12,1122,应收帐款,
13,1123,预付帐款,
14,1131,应收股利,
15,1132,应收利息,
16,1211,应收保护储金,保险专用
17,1221,应收代位追偿款,保险专用
18,1222,应收分保帐款,保险专用
19,1223,应收分保未到期责任准备金,保险专用
20,1224,应收分保保险责任准备金,保险专用
21,1231,其它应收款,
22,1241,坏帐准备,
23,1251,贴现资产,银行专用
24,1301,贷款,银行和保险共用
25,1302,贷款损失准备,银行和保险共用
26,1311,代理兑付证券,银行和保险共用
27,1321,代理业务资产,
28,1401,材料采购,
29,1402,在途物资,
30,1403,原材料,
31,1404,材料成本差异,
32,1406,库存商品,
33,1407,发出商品,
34,1410,商品进销差价,
35,1411,委托加工物资,
36,1412,包装物及低值易耗品,
37,1421,消耗性物物资产,农业专用
38,1431,周转材料,建造承包商专用
39,1441,贵金属,银行专用
40,1442,抵债资产,金融共用
41,1451,损余物资,保险专用
42,1461,存货跌价准备,
43,1501,待摊费用,
44,1511,独立帐户资产,保险专用
45,1521,持有至到期投资,
46,1522,持有至到期投资减值准备,
47,1523,可供出售金融资产,
48,1524,长期股权投资,
49,1525,长期股权投资减值准备,
50,1526,投资性房地产,
51,1531,长期应收款,
52,1541,未实现融资收益,
53,1551,存出资本保证金,保险专用
54,1601,固定资产,
55,1602,累计折旧,
56,1603,固定资产减值准备,
57,1604,在建工程,
58,1605,工程物资,
59,1606,固定资产清理,
60,1611,融资租赁资产,租赁专用
61,1612,未担保余值,租赁专用
62,1621,生产性生物资产,农业专用
63,1622,生产性生物资产累计折旧,农业专用
64,1623,公益性生物资产,农业专用
65,1631,油气资产,石油天然气开采专用
66,1632,累计折耗,石油天然气开采专用
67,1701,无形资产,
68,1702,累计摊销,
69,1703,无形资产减值准备,
70,1711,商誉,
71,1801,长期待摊费用,
72,1811,递延所得资产,
73,1901,待处理财产损益,
